accuracy,dice,f1,fn,fp,id,iou,precision,recall,subset,target,tn,tp
0.9892319623161056,0.6195260567295389,0.6195260110425259,1709.0,13287.0,Colour1/Color1_000056,0.44877779819721086,0.47885942892815003,0.8772093691559332,Colour1,meniscus,1365435.0,12209.0
0.9864200367646352,0.5734776725291532,0.5734776240208747,5625.0,13287.0,Colour1/Color1_000056,0.40201100360335795,0.4889811930291566,0.6932766235852921,Colour1,all,1361014.0,12714.0
0.9970164579502961,0.1983407293035242,0.19834071143257836,4155.0,0.0,Colour1/Color1_000678,0.11008781323388118,0.9999999998054475,0.11008781323388118,Colour1,point,1387971.0,514.0
0.9982924517462519,0.9208704911456114,0.9208704412112556,1746.0,632.0,Colour1/Color1_000678,0.8533456675864733,0.9563204091439883,0.8879548225573513,Colour1,meniscus,1376425.0,13837.0
0.9953089096966198,0.8145877678421609,0.8145877189579447,5901.0,632.0,Colour1/Color1_000678,0.6871767860530206,0.9578188613698336,0.7086213707253178,Colour1,all,1371756.0,14351.0
0.9967938591451491,0.18358017918845163,0.18358016251216258,4465.0,0.0,Colour2/Color2_000578,0.10106704247833567,0.9999999998007968,0.10106704247833567,Colour2,point,1387673.0,502.0
0.995860380284855,0.9019007265967263,0.9019006767698218,1146.0,4619.0,Colour2/Color2_000578,0.8213289530749974,0.8515745501257983,0.9585488479728052,Colour2,meniscus,1360374.0,26501.0
0.9926542394300759,0.8407435083117866,0.8407434583224052,5611.0,4619.0,Colour2/Color2_000578,0.7252437353940718,0.8539308076628489,0.8279573189402466,Colour2,all,1355407.0,27003.0
0.997007841222355,0.1941597369910238,0.19415971945619703,4167.0,0.0,Colour1/Color1_000818,0.1075176697342575,0.9999999998007968,0.1075176697342575,Colour1,point,1387971.0,502.0
0.9975449505973549,0.9307347906222914,0.930734740622243,1859.0,1560.0,Colour1/Color1_000818,0.8704433497503962,0.9364069952267073,0.9251308900486301,Colour1,meniscus,1366250.0,22971.0
0.9945527918197816,0.8608890192898465,0.8608889696236255,6026.0,1560.0,Colour1/Color1_000818,0.7557551756310384,0.937682259413823,0.7957218888748916,Colour1,all,1361581.0,23473.0
0.9974307789521344,0.22453402686986274,0.2245340069323719,3578.0,0.0,Colour2/Color2_000725,0.1264648437469125,0.9999999998069499,0.1264648437469125,Colour2,point,1388544.0,518.0
0.9948199103859581,0.9215733170976239,0.9215732672459009,6120.0,1094.0,Colour2/Color2_000725,0.8545535192224549,0.9748384277444861,0.8738274404682531,Colour2,meniscus,1343041.0,42385.0
0.9922506893381642,0.8882792604392552,0.888279210835013,9698.0,1094.0,Colour2/Color2_000725,0.7990129434755582,0.9751346682706205,0.8156308815406254,Colour2,all,1338945.0,42903.0
0.997206025965002,0.21409816198315293,0.21409814286091527,3891.0,0.0,Colour1/Color1_000719,0.11988237954942588,0.9999999998113208,0.11988237954942588,Colour1,point,1388219.0,530.0
0.9981696633730902,0.9469080002479704,0.9469079502506507,1043.0,1506.0,Colour1/Color1_000719,0.8991693037939115,0.9378635969759547,0.9561285437833089,Colour1,meniscus,1367360.0,22731.0
0.9953756893381639,0.8784033835563642,0.8784033337641789,4934.0,1506.0,Colour1/Color1_000719,0.7831722837588526,0.9391932813786926,0.825004433407253,Colour1,all,1362939.0,23261.0
0.9965762867646344,0.17793103447969086,0.1779310182664937,4768.0,0.0,Colour1/Color1_000571,0.09765329295803078,0.9999999998062016,0.09765329295803078,Colour1,point,1387356.0,516.0
0.9980533375458843,0.8757618807530555,0.8757618309997005,583.0,2128.0,Colour1/Color1_000571,0.7789825533932905,0.8178550029888054,0.9424935884696932,Colour1,meniscus,1380374.0,9555.0
